Expiration Date;Calls;Last Sale;Net;Bid;Ask;Vol;IV;Delta;Gamma;Open Int;Strike;Puts;Last Sale;Net;Bid;Ask;Vol;IV;Delta;Gamma;Open Int
09/11/2020;SPXW200911C00700000;0;0;2619.5;2669.5;0;0.02;0.9999;0;0;700.000;SPXW200911P00700000;0;0;0;0.05;0;0.02;-0.0001;0;0
09/11/2020;SPXW200911C00800000;0;0;2519;2569.5;0;0.02;0.9999;0;0;800.000;SPXW200911P00800000;0;0;0;0.1;0;0.02;-0.0001;0;0
09/11/2020;SPXW200911C00900000;0;0;2419.5;2469.5;0;0.02;0.9997;0;0;900.000;SPXW200911P00900000;0;0;0;50;0;0.02;-0.0001;0;0
09/11/2020;SPXW200911C01000000;0;0;2319;2369.5;0;0.02;0.9994;0;0;1000.000;SPXW200911P01000000;0.1;0;0;0.05;0;36.2581;-0.0001;0;1
09/11/2020;SPXW200911C01100000;0;0;2219.5;2270;0;0.02;0.9998;0;0;1100.000;SPXW200911P01100000;0;0;0;50;0;33.501;-0.0001;0;0
09/11/2020;SPXW200911C01200000;2154.9;2.9499;2119.5;2169.5;1;0.02;0.9995;0;0;1200.000;SPXW200911P01200000;0.05;0;0;0.05;0;31.0063;-0.0001;0;12
09/11/2020;SPXW200911C01300000;2035.6;0;2016;2066.5;0;0.02;0.9996;0;1;1300.000;SPXW200911P01300000;0.05;0;0;0.05;0;28.4693;-0.0001;0;110
09/11/2020;SPXW200911C01400000;0;0;1919.5;1969.5;0;0.02;0.998;0;0;1400.000;SPXW200911P01400000;0.05;0;0;0.05;0;26.3227;-0.0001;0;576
09/11/2020;SPXW200911C01500000;0;0;1816;1866;0;0.02;0.9996;0;0;1500.000;SPXW200911P01500000;0.05;0;0;0.05;0;24.2959;-0.0001;0;592
09/11/2020;SPXW200911C01600000;0;0;1719.5;1770;0;32.7574;0.9951;0;0;1600.000;SPXW200911P01600000;0.05;0;0;0.05;0;22.569;-0.0001;0;382
09/11/2020;SPXW200911C01700000;0;0;1619.5;1670;0;29.6983;0.9953;0;0;1700.000;SPXW200911P01700000;0.05;0;0;0.05;0;20.8032;-0.0002;0;255
09/11/2020;SPXW200911C01800000;1555.9;3.9;1519.5;1569.5;1;27.3695;0.9949;0;0;1800.000;SPXW200911P01800000;0.1;0;0;0.05;0;19.1446;-0.0002;0;2940
09/11/2020;SPXW200911C01900000;1454.4;2.4;1419.5;1470;1;25.4677;0.994;0;0;1900.000;SPXW200911P01900000;0.1;0;0;0.05;0;17.501;-0.0002;0;405
09/11/2020;SPXW200911C02000000;1377.72;0;1319;1369.5;0;23.0781;0.994;0;0;2000.000;SPXW200911P02000000;0.05;0;0;0.05;0;16.001;-0.0002;0;3069
09/11/2020;SPXW200911C02050000;0;0;1268.5;1319;0;22.1531;0.9935;0;0;2050.000;SPXW200911P02050000;0.05;0;0;0.05;0;15.2355;-0.0002;0;299
09/11/2020;SPXW200911C02100000;0;0;1219.5;1270;0;21.3263;0.9929;0;0;2100.000;SPXW200911P02100000;0.05;0;0;0.05;0;14.5791;-0.0002;0;572
09/11/2020;SPXW200911C02150000;0;0;1169.5;1219.5;0;20.104;0.9931;0;0;2150.000;SPXW200911P02150000;0.05;0;0;0.05;0;13.751;-0.0002;0;590
09/11/2020;SPXW200911C02200000;1198.7;0;1121;1171;0;19.1549;0.9928;0;1;2200.000;SPXW200911P02200000;0.05;0;0;0.05;0;13.1596;-0.0002;0;5479
09/11/2020;SPXW200911C02250000;0;0;1070.5;1121;0;18.3024;0.9923;0;0;2250.000;SPXW200911P02250000;0.05;0;0;0.05;0;12.5348;-0.0003;0;875
09/11/2020;SPXW200911C02300000;1050.1;0;1019.5;1070;0;17.3854;0.9919;0;1;2300.000;SPXW200911P02300000;0.1;0;0;0.05;0;11.751;-0.0002;0;1073
09/11/2020;SPXW200911C02350000;0;0;966.5;1017;0;16.5548;0.9912;0;0;2350.000;SPXW200911P02350000;0.7;0;0;0.05;0;11.1948;-0.0003;0;827
09/11/2020;SPXW200911C02400000;0;0;919;969.5;0;15.6703;0.9908;0.0001;0;2400.000;SPXW200911P02400000;0.05;0.025;0;0.05;12;10.5441;-0.0003;0;4254
09/11/2020;SPXW200911C02450000;0;0;869.5;920;0;14.9153;0.9898;0.0001;0;2450.000;SPXW200911P02450000;0.05;0;0;0.05;0;10.001;-0.0003;0;5336
09/11/2020;SPXW200911C02475000;0;0;844;894.5;0;14.6535;0.9888;0.0001;0;2475.000;SPXW200911P02475000;0.05;0;0;0.05;0;9.6501;-0.0003;0;480
09/11/2020;SPXW200911C02500000;0;0;819.5;870;0;14.0542;0.9892;0.0001;0;2500.000;SPXW200911P02500000;0.05;0;0;0.05;0;9.3786;-0.0004;0;8481
